cytoband	22q13.32	9p21.3	8p23.2	1p36.11	11q25	1p36.32	8p21.1	13q14.2	11q23.3	2q37.3	6q16.2	19p13.3	13q11	15q14	10q23.31	12q23.1	11q12.2	1p22.1	9p23	3p22.1	6q25.3	10q25.1	11p15.5	22q12.3	13q12.12	17q25.1	6q22.1	14q24.2	15q13.1	19q13.32	11q13.1	15q24.2	17q21.2	9p22.3	4q35.2	6q23.3	12p11.22	
						TMEM222										CRAT8				ITIH4-AS1								LOC100289511	SNORD115-37		SMTNL1	LOC101929151	LOC101927239		ENOPH1	SMPDL3A	TBC1D30	
						PLEKHN1										XLOC_009911				VIPR1-AS1								MIR1247	SNORD115-38		YPEL4	THSD4-AS2	RARA-AS1		OPRPN	APOBEC2	ESYT1	
						USP48										LACAT8				SYNPR-AS1								MIR1185-1	SNORD115-39		MED19	THSD4-AS1	LOC101929767		OSTC	PNRC1	TNS2	
						ZMYND12										LOC107161159				SGO1-AS1								MIR1185-2	SNORD115-41		MRPL21	C15orf59-AS1	MIR378J		IL21	ASCC3	MED13L	
						NBPF3														CADM2-AS2								MIR1260A	SNORD115-44		TPCN2	LOC101929439	MIR6779		RXFP1	RAB32	ZDHHC17	
						ZDHHC18														THOC7-AS1								MIR1197	SNORD116-28		OR6Q1	LOC101929457	MIR6781		AFAP1	TRIM31	SIRT4	
						SLC25A33														UBE2E1-AS1								MIR548H1	SNORD116-29		OR9I1	LINGO1-AS2	MIR6782		GUF1	KATNA1	KCNH3	
						DDI2														ZNF197-AS1								MIR1193	SNORD115-48		OR9Q1	LOC101929586	MIR6784		SPCS3	FGFR1OP	GRIP1	
						LZIC														GLYCTK-AS1								MIR4309	SNORD115-24		OR9Q2	TMC3-AS1	MIR6867		SCOC	BTN3A2	ABCB9	
						NT5C1A														CCDC13-AS1								MIR3173	SNORD115-27		OR1S2	LOC101929679	MIR6780A		TRAPPC11	BTN3A1	CBX5	
						TRIM63														ARHGEF3-AS1								LOC100506321	SNORD115-28		OR1S1	LINC01583	MIR6510		NEUROG2	BTN2A1	ISCU	
						FAM167B														OSBPL10-AS1								LOC100506476	SNORD115-45		OR10Q1	LINC01584	MIR6783		SLC39A8	CAPN11	RIMBP2	
						FOXD2-AS1														ZNF385D-AS1								LOC100506498	SNORD115-47		OR5B17	LINC01586	MIR6884		NCAPG	BVES	ANP32D	
						PERM1														ZNF385D-AS2								LOC100506603	MIR147B		OR5B21	LINC01585	MIR6866		HHIP	NUDT3	ATP6V0A2	
						CROCCP2														CACNA2D3-AS1								LOC100506700	LOC100128714		GLYATL2	RNU6-7	LOC102723471		NDST4	SEC63	SMUG1	
						HPDL														PRICKLE2-AS2								TUNAR	GABPB1-AS1		MPEG1	MIR6085	TBC1D3E		ETNPPL	NRM	LEMD3	
						MFSD2A														PRICKLE2-AS3								MEG9	LOC100129973		OR5A2	MIR6881	TBC1D3I		USP46	STK38	CORO1C	
						SYTL1														LARS2-AS1								LOC100507277	LOC100130111		OR5A1	MIR6882	CRHR1-IT1-CRHR1		MRPL1	SCAF8	GABARAPL1	
						IGSF21														LOC100996624								LOC100507437	USP3-AS1		OR4D6	MIR7706	LOC105371703		RASL11B	CEP162	PRPF40B	
						LSM10														FCF1P2								SYNJ2BP-COX16	SRP14-AS1		OR4D11	MIR8067	LOC105371730		ELOVL6	ICK	MGAT4C	
						C1orf94														SUCLG2-AS1								CHURC1-FNTB	ANKRD63		PATL1	MIR6859-2	LOC105371743		TNIP2	ENPP4	METTL7A	
						SNHG12														SAMMSON								MIR4507	LOC100131315		OOSP2	MIR6859-3	LOC105371766		HAUS3	ANKRD6	LETMD1	
						CFAP74														PDZRN3-AS1								MIR4506	HERC2P7		MS4A15	MIR6859-1	LOC105371789		NDNF	RIMS1	METTL21B	
						KIAA2013														LOC101927296								MIR4505	GOLGA8F		VWCE	MIR6766	LOC105371795		FAT4	DOPEY1	IFFO1	
						THAP3														LOC101927374								MIR203B	DCAF13P3		CYB561A3	LINC01169	SNORA90		ARSJ	ZNF292	ZNF385A	
						STPG1														LOC101927494								MIR4708	GOLGA8DP		PPP1R32	CERS3-AS1	LOC107133515		SRD5A3	CMTR1	NECAP1	
						SPOCD1														SATB1-AS1								MIR4709	JMJD7		TIGD3	LOC102723335	LOC107546764		ARHGAP10	CDK19	FGFR1OP2	
						UBXN11														LOC101927829								MIR151B	PLA2G4B		LRRN4CL	LOC102723344	LOC107985033		KLF3-AS1	CUL9	CLEC4E	
						C1orf158														LOC101927854								MIR4538	POTEB2		HNRNPUL2	LOC102723481			CENPU	TAB2	FBXW8	
						FBXO44														LOC101928135								MIR4710	WHAMMP1		ALKBH3	LOC102723493			THAP9	MDN1	GALNT8	
						ATPIF1														ITGA9-AS1								MIR4539	LOC100288637		LOC221122	LOC102723640			NSUN7	TSPYL4	HSPB8	
						SNORD46														LOC101928323								MIR4537	LOC100289656		MS4A6E	LOC102724034			UGT2A3	ANKS1A	OR7E47P	
						SNORD38A														SEMA3B-AS1								MIR4706	MIR1233-1		PELI3	LOC102724452			HAND2-AS1	UBR2	SNORD59A	
						SNORD38B														IQCF5-AS1								MIR2392	MIR1272		SSSCA1-AS1	LOC103171574			GSTCD	SASH1	RNU4-2	
						MED8														LOC101929054								DIO2-AS1	MIR1266		EHBP1L1	RNU6-2			MAP9	SYNE1	RNU4-1	
						SMIM12														LOC101929159								HIF1A-AS1	MIR1268A		SNX32	PCAT29			TNIP3	UFL1	GLS2	
						AZIN2														C3orf67-AS1								HIF1A-AS2	MIR1282		TSGA10IP	IRAIN			JADE1	SIRT5	HCAR1	
						TMEM54														ADAMTS9-AS1								MIR5195	NDUFAF4P1		CNIH2	SALRNA3			ABCA11P	PHF3	GPR162	
						TOE1														RASSF1-AS1								MIR5694	MIR2116		ZDHHC24	SALRNA2			SCD5	HEY2	RND1	
						ERMAP														MIR5787								MIR5586	LOC100419583		C11orf86	LUNAR1			DNAJB14	DAAM2	UTP20	
						CSMD2														MIR548AY								LINC00911	LOC100422556		NUDT8	LOC104613533			TMEM156	GLTSCR1L	KCNMB4	
						CROCCP3														MIR6823								LOC100996664	MIR3118-3		OOSP1	LOC105370888			WWC2	DDAH2	SLCO1B3	
						FHAD1														MIR6824								LOC101927780	MIR1233-2		OR4C3	LOC105370954			FRAS1	HEBP2	MRPL42	
						LOC115110														MIR6872								LOC101928075	MIR4311		OR4S1	PCSK6-AS1			NAA15	ORC3	IFT81	
						RAB42														MIR6890								LOC101928123	MIR3118-4		EML3	LOC105376731			CWH43	CD2AP	CCDC59	
						FAM46B														MIR8064								LOC101928143	MIR3118-2		TMEM151A				ABHD18	BRD7P3	ORMDL2	
						RBP7														MIR6822								LOC101928504	MIR4312		SVIP				ALPK1	MTCH1	TBK1	
						ACAP3														LOC102724231								LINC01467	MIR4310		MRGPRX1				GRPEL1	ZNF318	CLEC2D	
						UBE2J2														LOC102724297								LOC101928767	MIR3942		NPAS4				MED28	SPDEF	RACGAP1	
						CCDC163														CELSR3-AS1								LOC101928791	INAFM2		C11orf31				CXXC4	MTO1	SENP1	
						KDF1														MIR548BB								LOC101928909	RAD51-AS1		OR10AG1				KCNIP4	ASF1A	FAM216A	
						LRRC38														FOXP1-AS1								LOC101929002	IQCH-AS1		OR5J2				CEP44	YIPF3	HCFC2	
						AADACL3														LOC105376975								LOC101929080	DPH6-AS1		OR4C13				SETD7	USP49	PDZRN4	
						PUSL1														LOC105376997								LOC101929241	SERF2-C15ORF63		OR4C12				PLA2G12A	CCDC28A	TRHDE	
						B3GALT6														LOC105377102								SNHG24	DYX1C1-CCPG1		TRIM49B				FIP1L1	MTHFD1L	SYCP3	
						IFFO2														LOC105377105								LOC101929634	MIR4512		MAJIN				TLR10	PNISR	CHST11	
						TPRG1L														FAM3D-AS1								LINC00644	MIR4509-1		SLC25A45				SLC25A31	IBTK	GALNT9	
						FAM213B														LOC105377143								MIR6765	MIR4509-2		NEAT1				RAB33B	MOXD1	IL22	
						MYOM3														LOC105377146								MIR7641-2	MIR4508		OR9G4				ARHGAP24	IPCEF1	COPS7A	
						DMBX1														LOC105377162								MIR7843	MIR4510		LOC283194				FGFBP2	ZNF451	TAS2R9	
						TMCO2														ARF4-AS1								MIR7855	MIR4716		LINC00301				SNX25	SENP6	TAS2R8	
						ZNF684														SNORD136								MIR8071-1	MIR4713		CCDC88B				TTC29	OR2B6	TAS2R7	
						GJB4														SNORA94								MIR6764	MIR4511		TTC9C				MND1	TIAM2	TAS2R13	
						HMGB4														SNORA95								LOC102723354	MIR4712		SLC22A24				SLC10A7	FBXL4	TAS2R10	
						RNF19B																						LINC01500	MIR4715		RCOR2				TKTL2	LINC01558	TAS2R14	
						A3GALT2																						LOC102723809	TMCO5B		HARBI1				C4orf17	FAM50B	DHH	
						C1orf122																						LOC102724153	MYZAP		LINC00294				QRFPR	FBXO9	CLEC4A	
						OSCP1																						LOC102724190	MIR5701-2		IGSF22				FAM175A	FBXO5	HEBP1	
						C1orf216																						LINC01269	MIR5701-1		LUZP2				KIAA1109	SLC17A5	CCDC53	
						KLHDC7A																						SALRNA1	SNORD116-30		OR5F1				MFSD7	OR12D2	GOLT1B	
						VWA5B1																						LINC01629	SNORD115-46		OR5AP2				NOA1	OR11A1	PLEKHA8P1	
						UBXN10																						LOC105370586	LOC100996255		ANKRD13D				TMEM175	RGS17	YARS2	
						KLF17																						LOC105370605	POTEB		LOC338694				ABLIM2	OR2W1	DERA	
						TMEM125																						LOC105370619	RORA-AS2		CSTF3-AS1				HOPX	OR2J2	CEP83	
						ARHGEF19																						LOC105370622	GOLGA8R		OTOG				COL25A1	OR2H1	IRAK4	
						ACTRT2																						LINC00677	LOC101927079		DCDC1				USP38	SNORD52	ING4	
						MIB2																						LOC105370697	LOC101928042		MS4A10				LNX1	SNORD50A	GPN3	
						C1orf127																						LOC105378183	LOC101928134		TBX10				MGARP	SNORD48	DDX47	
						SAMD11																						LOC107984640	LOC101928174		RTN4RL2				AFAP1-AS1	PDE7B	GLTP	
						LOC148413																							LOC101928227		NCR3LG1				NAA11	FILIP1	MRPL51	
						PHF13																							EHD4-AS1		DKFZp779M0652				GPAT3	BRPF3	CLEC1B	
						LINC00337																							PLA2G4E-AS1		FAM111B				CBR4	GNMT	CLEC1A	
						CCDC27																							LOC101928414		TMEM179B				PIGY	TNFRSF21	MAPKAPK5-AS1	
						ZNF436-AS1																							LINC01491		TBC1D10C				TMEM128	SESN1	C1RL	
						KNCN																							PIGBOS1		MALAT1				CABS1	TINAG	ERGIC2	
						MOB3C																							LINC01413		ZFP91-CNTF				ZNF518B	DLL1	FKBP11	
						DCDC2B																							LIPC-AS1		SLC22A25				FHDC1	OSTM1	ARL6IP4	
						ZNF362																							LOC101928725		INSC				FLJ20021	MRPS18B	TAOK3	
						LINC01225																							RORA-AS1		FIBIN				LOC90768	TMEM14A	KLRF1	
						MANEAL																							PWRN3		C11orf96				PRMT9	MRPL18	KRT76	
						PDIK1L																							GABRG3-AS1		SLC22A10				CCDC149	NDUFAF4	POP5	
						CLDN19																							LOC101928907		SPDYC				DDX60L	C6orf15	CSAD	
						CFAP57																							LOC101928988		ACCSL				YTHDC1	MYLIP	BIN2	
						C1orf210																							LOC101929076		OR4X1				CTBP1-AS2	ABT1	ANAPC5	
						CCDC24																							LOC101929151		OR5D13				TMEM129	DSE	ANAPC7	
						BTBD19																							RNU6-7		OR5D16				NAF1	PRICKLE4	LIMA1	
						CCDC17																							MIR6085		OR5W2				MOB1B	PACSIN1	TRIAP1	
						C1orf64																							MIR7973-2		OR8H2				TIFA	ZNRD1	PPHLN1	
						SLC2A7																							MIR8067		OR8H3				FAM114A1	CLDN20	NT5DC3	
						CALML6																							MIR7973-1		OR5T3				TRMT10A	NOX3	IL23A	
						IFNLR1																							MIR8063		OR5T1				MRFAP1	DEF6	HDAC7	
						CYP4Z2P																							LINC01169		OR8K1				LOC93622	C6orf48	TMBIM4	
						CITED4																							LOC102723344		OR5M9				TADA2B	SLC35B3	VPS29	
						FAM43B																							LOC102723481		OR5M10				TBCK	HDDC2	WBP11	
						PAQR7																							LOC102723493		OR5M1				HTRA3	GMNN	TM7SF3	
						OXCT2P1																							POTEB3		OR9G1				HELQ	MRPL2	TPCN1	
						AGO3																							LOC102725022		OR5AK2				CYP2U1	TFB1M	GPR84	
						AGO4																							RNU6-2		OR5B2				C1QTNF7	CYB5R4	SLCO1C1	
						FAM76A																							PWRN4		OR5B12				MRFAP1L1	TUBE1	SLC38A2	
						TMEM201																							PCAT29		OR5AN1				DDIT4L	C6orf203	SSH1	
						CYP4Z1																							SALRNA3		OR4D10				CLNK	TBC1D7	PRR13	
						FAAP20																							SALRNA2		OR4D9				WDR17	NRN1	PLEKHA5	
						TXLNA																							LOC105370757		OR10V1				ARAP2	CYP39A1	RHOF	
						SLFNL1																							LOC105370792		LRRC10B				PCAT4	CDC40	VSIG10	
						TMEM51-AS1																							LOC105370802		GPR152				ANTXR2	RWDD1	MANSC1	
						ATAD3C																							LOC105370829		DOC2GP				OCIAD2	AIG1	KANSL2	
						AKR7L																							LOC105370941		NAV2-AS4				SCLT1	NOL7	TESC	
						FNDC5																							LOC105370943		HNRNPKP3				C4orf33	SNX9	PARPBP	
						LINC01342																							BUB1B-PAK6		LOC399886				TMEM155	FAM8A1	TAPBPL	
						TTLL10																									FAM180B				PABPC4L	UBE2J1	SLC38A4	
						TMCO4																									PCNX3				ADAD1	DCDC2	MAGOHB	
						ZNF683																									OR4A47				ZFP42	ETV7	SLC6A15	
						MDS2																									OR4C45				LIN54	TMEM14C	FAM90A1	
						CYP4X1																									SCGB1D4				SPATA18	VTA1	RIC8B	
						NPHP4																									MIR129-2				C4orf32	LGSN	KIAA1551	
						BEST4																									MIR130A				TMPRSS11B	TDP2	APPL2	
						C1orf167																									MIR192				GNPDA2	CUTA	PLEKHG6	
						CYP4A22																									MIR194-2				SPATA4	PPIL1	SBNO1	
						LINC01226																									DKFZp686K1684				CPEB2	MPC1	CASC1	
						FAM41C																									LOC440040				EVC2	HECA	TMEM19	
						LOC284632																									TRIM51HP				ARL9	RAB23	CCDC91	
						RSPO1																									SLC22A20				AASDH	COQ3	DRAM1	
						EPHA10																									LOC441601				PDCL2	CLIC5	STYK1	
						LOC284661																									OR5B3				C4orf36	IL20RA	ETNK1	
						RIMKLA																									CCDC73				PACRGL	TREM2	GPRC5D	
						SLC25A34																									LOC494141				TRAM1L1	TREM1	SLC35E3	
						ESPNP																									BDNF-AS				OTOP1	UNC93A	SVOP	
						LINC01343																									MS4A13				ENPP6	HCG4	STAB2	
						C1orf174																									OR8U8				SLC9B2	GFOD1	VEZT	
						KLHL17																									BTBD18				ASB5	HMGCLL1	GOLGA2P5	
						TMEM240																									PGA3				SLC9B1	MTRF1L	ZCCHC8	
						TMEM52																									PGA4				ZNF827	CCHCR1	KIF21A	
						MTMR9LP																									RASSF10				SH3D19	GTPBP2	SLC48A1	
						ZBTB8OS																									FAM86C2P				NFXL1	BTN2A3P	SCYL2	
						TFAP2E																									TRIM64C				NIPAL1	AHI1	POLR3B	
						LINC01141																									LOC646813				PAQR3	UHRF1BP1	FAR2	
						LOC339539																									SNORD67				SHISA3	ELOVL2	LMBR1L	
						C1orf228																									SNORA57				LINC01618	CDKAL1	ASUN	
						ZFP69																									MIR610				SCFD2	PAK1IP1	ATF7IP	
						AADACL4																									MIR611				MGAT4D	RMND1	CHFR	
						PRAMEF5																									MIR612				WWC2-AS2	PHIP	H2AFJ	
						HNRNPCL1																									MS4A18				ZNF595	SOBP	FGD6	
						PRAMEF10																									SEC14L1P1				LINC01085	AKIRIN2	IL26	
						TCTEX1D4																									METTL12				FAM218A	CENPQ	FOXJ2	
						SERINC2																									UQCC3				JAKMIP1	MRPS18A	CAND1	
						FAM131C																									LOC100126784				THAP6	MRPS10	ITFG2	
						PADI6																									TMEM262				C4orf26	LRRC1	WSB2	
						BMP8A																									LOC100130987				KLB	PHF10	LMO3	
						DRAXIN																									C11orf91				FAM53A	QRSL1	CMAS	
						SPATA21																									MIR1908				PPM1K	VNN3	NDUFA12	
						SVBP																									MIR1237				C4orf45	TMEM63B	PRMT8	
						TEX38																									MIR670				TRMT44	DDX43	DIABLO	
						AGRN																									MIR3160-2				RASGEF1B	FAM46A	MDM1	
						CENPS																									MIR3160-1				SPATA5	CARMIL1	ANKS1B	
						CATSPER4																									MIR3164				BBS12	TBC1D22B	NDUFA4L2	
						NSUN4																									MIR3162				DCLK2	TMEM30A	ARNTL2	
						GPR153																									MIR3161				ADGRA3	EXOC2	CHPT1	
						FAM132A																									MIR3159				TRIM60	SAYSD1	PARP11	
						HES5																									MIR3163				FREM3	ERMARD	ANO2	
						SMIM1																									MIR3654				MMAA	LMBRD1	C12orf4	
						RNF207																									CCDC179				ZBTB49	TRERF1	TIGAR	
						TMEM82																									C11orf72				TIGD2	ACOT13	LPAR5	
						TRNP1																									LINC00958				RASSF6	ECHDC1	NUP107	
						CD164L2																									SPTY2D1-AS1				RBM46	APOM	SMAGP	
						TRABD2B																									DCDC5				SGMS2	BTNL2	AICDA	
						HES3																									LOC100506675				COX7B2	KCNQ5	TMCC3	
						PRAMEF12																									LOC100507144				GSX2	TRIM39	PPM1H	
						PRAMEF8																									LOC100507205				ZNF721	AGPAT4	RIMKLB	
						PRAMEF18																									MIR670HG				SYNPO2	WRNIP1	SRGAP1	
						PRAMEF17																									ALKBH3-AS1				C4orf46	DUSP22	KLHL42	
						PLA2G2C																									LOC100507384				SLC10A4	TULP4	PITPNM2	
						SKINT1L																									LRP4-AS1				TIGD4	RARS2	DIP2B	
						TMEM200B																									RBM14-RBM4				TMEM154	HYMAI	FAM234B	
						FAM87B																									TMX2-CTNND1				LINC00504	PDSS2	EP400	
						PRAMEF4																									SAA2-SAA4				SMIM14	GOPC	DHX37	
						PRAMEF13																									ARL2-SNX15				TMEM192	LYRM4	CALCOCO1	
						SH2D5																									HNRNPUL2-BSCL2				RWDD4	SMIM8	FBRSL1	
						NCMAP																									MIR4486				PRIMPOL	VARS2	DDX55	
						LINC01144																									MIR4487				TAPT1	ADGRG6	NCKAP5L	
						RNF223																									MIR4489				TAPT1-AS1	ARFGEF3	NEUROD4	
						LDLRAD2																									MIR4690				TRIML2	NHSL1	FAM60A	
						CSMD2-AS1																									MIR3973				CNOT6L	LYRM2	NTN4	
						MIR200A																									MIR4688				TECRL	SNX14	TRPV4	
						MIR200B																									MIR4691				LCORL	MRS2	C12orf10	
						MIR30C1																									MIR4694				C4orf22	PLEKHG1	MRPS35	
						MIR30E																									MIR1343				IGFBP7-AS1	ARID1B	ATG101	
						MIR34A																									MIR4488				EPGN	LRFN2	LHX5	
						LINC00982																									MIR5582				ZNF718	AARS2	ARHGAP9	
						PRAMEF11																									NAV2-AS5				ELMOD2	XPO5	IKZF4	
						PRAMEF6																									NAV2-AS2				NPNT	SERINC1	SUDS3	
						HNRNPCL2																									LOC100996455				CCDC110	HACE1	ACTR6	
						UQCRHL																									LINC00678				MFSD8	FAM135A	CLEC7A	
						MINOS1																									LOC101927120				LOC256880	TMEM181	TBC1D15	
						SLC2A1-AS1																									LOC101927204				CCDC96	ZBTB2	C12orf43	
						FAM183A																									LOC101927495				BOD1L1	BEND3	SLC26A10	
						ANKRD65																									OVOL1-AS1				FDCSP	KIAA1586	VPS33A	
						PRAMEF7																									LOC101928069				NAP1L5	CPNE5	RSRC2	
						PRAMEF25																									LOC101928132				LINC01091	LSM2	WNK1	
						LURAP1																									MRGPRF-AS1				DCAF4L1	C6orf47	SPATS2	
						PEF1																									LINC01488				CYP4V2	LY6G5B	CAPRIN2	
						MIR429																									FBXO3-AS1				F11-AS1	ABRACL	AACS	
						KIAA0754																									LOC101928510				RPL34-AS1	RRAGD	TMEM106C	
						LINC01128																									LINC01493				CTBP1-AS	LY6G6D	NUP37	
						TMEM88B																									LOC101928591				CRIPAK	ENPP5	NABP2	
						FNDC10																									LOC101928812				LOC285484	PRDM13	DDX54	
						RPS14P3																									LOC101928894				DOK7	PBOV1	NOC4L	
						ACTG1P20																									LOC101928943				LINC00955	BACH2	GNPTAB	
						PIK3CD-AS1																									C11orf98				RNF212	ELOVL5	BHLHE41	
						PRAMEF26																									MIR6073				LINC01098	TRMT11	B3GNT4	
						PRAMEF33P																									MIR6128				FAM13A-AS1	SMAP1	BCL2L14	
						PRAMEF19																									MIR6503				GPRIN3	ZFAND3	TCTN1	
						PRAMEF20																									MIR6514				COX18	SLC22A23	ADIPOR2	
						FAM138A																									MIR6746				YIPF7	LINC01590	ACSS3	
						LACTBL1																									MIR6747				FRYL	BLOC1S5	RPAP3	
						LOC646471																									MIR6748				RNF175	MCUR1	OGFOD2	
						PRAMEF34P																									MIR6751				SEPSECS-AS1	GPSM3	VPS37B	
						HNRNPCL3																									MIR6752				LINC01097	FKBPL	BBS10	
						ZBTB8A																									MIR6753				LINC01096	KIF13A	RERGL	
						LOC653160																									MIR6860				FAM200B	PERP	C12orf49	
						PRAMEF22																									MIR7113				STPG2	SMOC2	PIP4K2C	
						PRAMEF15																									MIR7154				CSN1S2AP	POPDC3	FLJ13224	
						WASH7P																									MIR8054				NOP14-AS1	ZSCAN31	TCTN2	
						FAM138C																									MIR8087				ZAR1	ALDH8A1	PLBD1	
						SCARNA1																									MIR6750				CCDC158	C6orf106	PYROXD1	
						FAM138D																									MIR6745				TMPRSS11A	MICAL1	NANOG	
						SNORA44																									MIR6749				LOC339975	MRPL14	DNAJC22	
						SNORA55																									MIR6879				TRIML1	DLK2	NAA25	
						SNORA61																									MIR7155				LRRC66	LY6G6E	SLC8B1	
						SNORA59A																									MIR8068				LOC339978	ULBP3	ADAMTS20	
						SNORA16A																									MIR6124				NAT8L	OR2A4	CEP290	
						SNORD103C																									LOC102723330				LOC340017	ARMT1	RNF34	
						SNORD99																									LINC01495				LOC344967	OGFRL1	CCDC92	
						SNORD103A																									LINC01499				PRSS48	FAM184A	MTERF2	
						MIR551A																									LOC102724064				SOWAHB	ZDHHC14	PUS1	
						MIR552																									LOC102724265				LRIT3	ZNF322	ACAD10	
						C1orf195																									LOC102724957				MSANTD1	MANEA	SPX	
						ZBTB8B																									PAUPAR				SLC10A6	ADGB	DUSP16	
						LINC01137																									LOC103312105				HSD17B13	TREML2	WNT5B	
						PPIEL																									BBOX1-AS1				FAM86EP	RPP21	SLC38A1	
						CCDC30																									LOC105369332				ANKRD37	LINC00472	CSRNP2	
						CDK11A																									LOC105369340				POLN	ATAT1	APOLD1	
						SLC35E2B																									MIR194-2HG				PCNAP1	FRMD1	GSG1	
						LINC01346																									LOC105376575				KCNIP4-IT1	AGPAT4-IT1	PUS7L	
						RPS15AP10																									LOC105376599				KCTD8	LINC00574	CDCA3	
						FAAHP1																									LOC105376633				LOC389199	LCAL1	GLT8D2	
						C1orf234																									LOC105376671				SMIM20	CCDC170	THAP2	
						PRAMEF14																									LINC01616				BEND4	MYCT1	RHNO1	
						FAM231A																									SNORA88				GRXCR1	ZKSCAN3	NRIP2	
						FAM231C																									KCNK4-TEX40				TMPRSS11F	ULBP2	INHBE	
						FLJ37453																													LOC389247	ULBP1	RBP5	
						LOC729737																													USP17L6P	ZSCAN16	TMTC1	
						OR4F29																													USP17L9P	LPAL2	KCTD10	
						FAM229A																													TRIM61	RNF39	RACGAP1P	
						MATN1-AS1																													HELT	SLC44A4	FAM186B	
						LOC100129534																													C4orf48	VWA7	USP44	
						LOC100129924																													DTHD1	C6orf25	SLC41A2	
						EFCAB14-AS1																													LOC401127	LY6G6C	LRRIQ1	
						LOC100130417																													LOC401134	LY6G5C	METTL25	
						NFYC-AS1																													SYT14P1	PRR3	TMEM117	
						LOC100132062																													TMPRSS11BNL	KHDC1	TCHP	
						FOXO6																													PRR27	ZNRD1ASP	COQ5	
						LOC100132147																													AMTN	PRRT1	LLPH	
						KDM4A-AS1																													CCSER1	EGFL8	PYM1	
						FAM231B																													LINC01061	HCG4B	CCDC77	
						LOC100133331																													C4orf3	GPR63	SARNP	
						LINC01134																													LINC01060	TXNDC5	HVCN1	
						DDX11L1																													CFAP99	COL21A1	ACRBP	
						TTC34																													RPL21P44	C6orf62	SRRM4	
						LOC100288069																													FAM92A1P2	OR5V1	CCDC62	
						MIR1256																													WDFY3-AS2	OR2B2	KDM2B	
						MIR1976																													MIR218-1	PPP1R14C	CAPS2	
						MIR1290																													MIR302A	OR12D3	SPSB2	
						MIR1302-2																													MIR95	SPACA1	UNC119B	
						NPPA-AS1																													LOC439933	RNF146	USP30	
						MIR1302-9																													LINC00575	TMEM14B	CRACR2A	
						MIR1302-10																													CPEB2-AS1	SF3B5	TUBA1C	
						MIR3115																													MTHFD2L	TAAR8	ZC3H10	
						MIR4255																													LOC441025	SH3BGRL2	ORAI1	
						MIR4253																													TMEM150C	RIOK1	RNFT2	
						MIR1302-11																													GUSBP5	TFAP2D	FAM222A	
						MIR4251																													LOC441052	KCNK16	ALG10	
						MIR1273D																													C4orf47	RSPH3	SPRYD3	
						MIR4252																													GALNTL6	TTLL2	RITA1	
						MIR4254																													MIR302B	DTNBP1	MFSD5	
						MIR3659																													MIR302C	ARMC2	FAM222A-AS1	
						MIR3917																													MIR302D	FBXO30	COX14	
						MIR3605																													MIR367	RPF2	RERG	
						MIR3675																													FRG2	UQCC2	DNAJC14	
						LOC100505887																													CISD2	L3MBTL3	ZCRB1	
						ENO1-AS1																													UBA6-AS1	FAM120B	CCDC65	
						LOC100506022																													LOC550113	MCHR2	ANKRD13A	
						TMEM35B																													UGT2A2	PGBD1	NAV3	
						LOC100506730																													SLC7A11-AS1	FAXC	PLCZ1	
						LOC100506801																													LINC00616	FNDC1	TMEM116	
						TCEB3-AS1																													LEF1-AS1	TTBK1	UBE3B	
						LOC100506985																													ZNF876P	GJA10	LACRT	
						SLFNL1-AS1																													SLED1	RTN4IP1	TMEM263	
						MKNK1-AS1																													USP46-AS1	ADTRP	FMNL3	
						APITD1-CORT																													LOC644145	RSPO3	CERS5	
						GJA9-MYCBP																													SNCA-AS1	LRP11	C12orf29	
						MINOS1-NBL1																													DEFB131	LTV1	ATP23	
						MIR4695																													TMPRSS11GP	SERAC1	PCED1B	
						MIR4420																													TNRC18P1	USP45	C12orf65	
						MIR4419A																													CLRN2	REPS1	TMEM132C	
						MIR3972																													CEP170P1	HIST1H2AH	BICDL1	
						MIR4425																													LOC645513	HIST1H2BK	HELB	
						MIR4684																													HHIP-AS1	PPIL4	MARCH9	
						MIR4689																													C4orf51	PAQR8	COQ10A	
						MIR5096																													LOC650293	SLC22A16	HTR7P1	
						MIR4418																													FLJ38576	RRP36	CACNA2D4	
						MIR4632																													ZNF732	LINC01621	CAPZA3	
						MIR4417																													SCARNA22	KCNK17	CLEC6A	
						MIR378F																													SNORA24	ABCC10	KRT71	
						RCAN3AS																													SNORA26	TRIM15	C12orf57	
						MIR5581																													MIR571	KLC4	LARP4	
						MIR5585																													MIR572	UBE3D	SDSL	
						MIR5697																													MIR573	MLIP	SLC2A13	
						MIR5584																													MIR574	LINC00473	MBD6	
						PINK1-AS																													MIR575	MFSD4B	TMEM132B	
						MTOR-AS1																													MIR576	TJAP1	OSBPL8	
						LINC00853																													MIR577	ARHGAP18	ARHGEF25	
						ERI3-IT1																													MIR578	POM121L2	C12orf56	
						LINC01355																													LOC728040	SYTL3	IQCD	
						LOC100996583																													LINC00290	FOXQ1	LINC01257	
						HNRNPCL4																													LOC728175	GTF3C6	AGAP2	
						LOC101927876																													USP17L24	MRAP2	DCD	
						LOC101927895																													USP17L25	RWDD2A	RAB3IP	
						UBXN10-AS1																													USP17L26	IL17F	BORCS5	
						LOC101928043																													USP17L27	MTFR2	MUCL1	
						LOC101928163																													USP17L28	SFT2D1	DEPDC4	
						LOC101928303																													USP17L29	EFHC1	LRRK2	
